Created_At,From_User,Tweet_Text
"Tue, 03 Jul 2012 03:55:20 +0000",dodyed,Kata fadil sih iya RT @berilliagnesia: Iyaa RT @dodyed: Pentofel yg item gitu kayak diwisuda ? RT @berilliagnesia: @dodyed dod
"Tue, 03 Jul 2012 03:55:19 +0000",FizdhaWatySRG,Iya panggilan dri kecil kan gak susah manggilnya:DRT @alhapifsyahput1: Kok dod ? RT FizdhaWatySRG @alhapifsyahput1 panggil aja dod :)
"Tue, 03 Jul 2012 03:54:05 +0000",asagawa02,@aogirigirigiri DOD
"Tue, 03 Jul 2012 03:53:50 +0000",alhapifsyahput1,Kok dod ? RT @FizdhaWatySRG @alhapifsyahput1 panggil aja dod :)
"Tue, 03 Jul 2012 03:52:51 +0000",Charlesamosir,Jam brp nnti futsalnya dod? @dadidudedody
"Tue, 03 Jul 2012 03:52:33 +0000",GitaMarino,@dody_rochadi mas Dod makasih ya mas Dod @referika
"Tue, 03 Jul 2012 03:52:23 +0000",DodyDewantara,"Amiin () ""@vrncz: DodyDewantara tak doake menang dod"""
"Tue, 03 Jul 2012 03:51:40 +0000",beaglescout,b/c McCain was the worst! RT @Jonathan_Deaux: @beaglescout I'm a Vet and a DoD contractor and couldn't bring myself to vote for him in 08'
"Tue, 03 Jul 2012 03:50:43 +0000",bonjol77,"Tae lo dod woakakak RT ""@dodichyd26: gue ye? wkakakaRT @bonjol77 Gara2 ank bajing emak gue smpe mne2 nih woakak"""
"Tue, 03 Jul 2012 03:50:02 +0000",Irhancur,"Gakbisa dod, banyak temen adek gua @dooodddy"
"Tue, 03 Jul 2012 03:49:02 +0000",rrind,"wayo kau dod @DodyLSilalahi, kenak gap mincek RT: @khagoma: Sok polos kw dod, polos tak beraturan.. RT @rrind: gak usah sok bodoh ya dod"
"Mon, 02 Jul 2012 22:06:57 +0000",PhiBetaIota,INSCOM KR Job Openings Right This Minute -  http://t.co/wcVCzz5U
"Thu, 28 Jun 2012 13:18:07 +0000",Elijah_TheGREAT,"I'm at INSCOM - Nolan (Fort Belvoir, VA) w/ 2 others http://t.co/pSD6Tagw"
"Tue, 03 Jul 2012 03:57:01 +0000",NegriitaLayana,@cuestaignacio y algun dia volveremos a salir
"Tue, 03 Jul 2012 03:57:01 +0000",MichikoFrizdew,"@WRramadani gak lah, kamu ga sekelompok sama dia (-.-)"
"Tue, 03 Jul 2012 03:57:01 +0000",nifliya,"RT @acidgorgeous: Fyi: Irman td mau dibunuh di lapangan kosong, cuma gw histeris triak"" dan sok"" asma! Jadi dia lepas!"
"Tue, 03 Jul 2012 03:57:00 +0000",mrsmalikestyles,"eu to vendo o dia do meu pai chegar pra mim e dizer: OU VOC ARRANJA UM EMPREGO, OU SAI DE CASA!!"
"Tue, 03 Jul 2012 03:57:00 +0000",ximenaDuquefc,"@XimenaDuqueEc @fabianriosfc_pr me acordastes de clau !!!! Ese dia.q se
Puso celosa jeje"
"Tue, 03 Jul 2012 03:57:00 +0000",silsilviii,"Yaudah pastiin dulu aja RT ""@naniktriea: Tapi kan dia dpesantren dilRT @fadil_ismael: Sandi mau diaRT naniktriea: gatau, anak2 yang lain gad"
"Tue, 03 Jul 2012 03:57:00 +0000",RePaixao78,"Hora de dormir... Na verdade j passou!
Boa noite! 
Dia cheio amanh..."
"Tue, 03 Jul 2012 03:57:00 +0000",ferk85,Gana dinero invirtiendo solo de 2 a 5 minutos de tu tiempo por dia te interesa?!!!!!!!!!!!!  http://t.co/VyDvnDnL
"Tue, 03 Jul 2012 03:57:00 +0000",pablitox_condex,"RT @Gonzaalez_: Aunque no estes conmigo, siempre estas en mi mente y corazon y cada dia te amo mas! @pablitox_condex"
"Tue, 03 Jul 2012 03:57:00 +0000",ThiagoSalata,@NathyMaciel Fazemos media de 3 pginas por dia. Teve muita coisa boa que voc perdeu por essa birra... Rs!
"Tue, 03 Jul 2012 03:57:00 +0000",sary_bery,"Personas q un dia te kieren,y al otro dia no c acuerdan q existes!!!"
"Tue, 03 Jul 2012 03:57:00 +0000",TeamMariValadao,Hoje  um dia de muita alegria por mais um ano da nossa Mari nosso exemplo e referencial! #ParabensMV @marianavaladao amamos voc!
"Tue, 03 Jul 2012 03:57:00 +0000",syashara98,RT @dwimelina: ITU YOUTUBE KALAU BISA NGOMONG DIA PASTI MENJERIT GARA-GARA DIA DIBOBOL SAMA PASUKAN KELUARGA GUA ELF :D
"Tue, 03 Jul 2012 03:57:00 +0000",dalenando,Maana primer dia en @junar y el comienzo de una nueva etapa.
"Mon, 02 Jul 2012 23:53:56 +0000",Leety_RebeldeBr,meeu porq o pingo foi chegar velho porq naum dexo o pedro acabar com ooo tomatee la poo cara o mcia e taum perfeito com raiva
"Mon, 02 Jul 2012 15:58:20 +0000",LucasCanteros,suerte con tu vidita mcia
"Mon, 02 Jul 2012 12:07:33 +0000",cotiicampos,"Le digo a giancris raja de aca que me voy a sentar con mcia y me dice vos porque te queres machetiar , negro de mierda indocumentado"
"Mon, 02 Jul 2012 10:37:02 +0000",MCIATweets,@garryscott7 Garry can you e-mail me about off-road event at s.muir@mcia.co.uk #MCIATweets
"Mon, 02 Jul 2012 06:32:38 +0000",FriendsEBEC,The Friends Receives An MCIA 2012 Sustainable Raritan Award http://t.co/Hu4TY4X3
"Mon, 02 Jul 2012 06:32:04 +0000",FriendsEBEC,The Friends Receives An MCIA 2012 Sustainable Raritan Award http://t.co/hIXodO5S
"Sun, 01 Jul 2012 23:17:10 +0000",Conymelia,mis conversaciones con mcia siempre llegan a lo mismo
"Sun, 01 Jul 2012 22:32:33 +0000",mica_cortes,RT @ValenBusson: que tierno lo que me coento mcia
"Sun, 01 Jul 2012 22:31:45 +0000",ValenBusson,que tierno lo que me coento mcia
"Sun, 01 Jul 2012 18:58:41 +0000",GrupoFred,"#Tampico 5% de desc. adicional en mcia ya rebajada en todas nuestras sucursales ! DEDO MANCHADO, DESCUENTO ASEGURADO. *aplican restricciones"
"Sun, 01 Jul 2012 13:40:22 +0000",mynymisnym,My One-Eyed shots #vanity #pink #cyclops #mcia http://t.co/bgsLrqrV
"Tue, 03 Jul 2012 03:57:02 +0000",medranomac,RT @junsabayton: Lamig.Brr Manood na nga lang ako ng Seiko Films Klasiks ANAKAN MO KO Directed by Humilde Roxas Produced by Robie Tan Staring Klaudia Koronel
"Tue, 03 Jul 2012 03:57:01 +0000",allicamet29,"Super happy talaga akodahil suspened ang classes? Lol. :| 2 lang naman subjects ko today eh, 'til 7.30 nga lang"
"Tue, 03 Jul 2012 03:56:59 +0000",damlittlethings,@iNolanNGC na offend nga ko eh.
"Tue, 03 Jul 2012 03:56:58 +0000",agnesllanto,"@thisismekhym yeahh...,meron nga ako nun ei...kso nawala na ung cp ko...sayang.."
"Tue, 03 Jul 2012 03:56:57 +0000",mccperez,@callmebryan21 at suspended na nga sir hahahahaha
"Tue, 03 Jul 2012 03:56:56 +0000",burnnnaprielaaa,@caseeeyfrialde haha kaya nga nagmamakaawa kasi sana for sandali or kahit malakas na ulan hahaha XD BASTA MASUSPEND BUKAS hahaha XD *bitter*
"Tue, 03 Jul 2012 03:56:56 +0000",BeyonchiKnows,Felicity season 1 weather nga! Thanks for the suggestion @tammygdavid *pops in DVD*
"Tue, 03 Jul 2012 03:56:55 +0000",IamClaaarise,@abcee92 Hahaha! Wehhh? Saan nga? Ang daya nito! -.- :D
"Tue, 03 Jul 2012 03:56:55 +0000",ssheilalala,"@jeamatic Pandagdag na nga yun! HAHA. Oo para sayo yun, bakit hindi ka ba inlove? =)))"
"Tue, 03 Jul 2012 03:56:55 +0000",VillaflorG,@SacapuloNessa oh my..lakas nga kase ng ulan eh...
"Tue, 03 Jul 2012 03:56:54 +0000",prinCesaRiina,@imrufamaequinto WOHOOO!! sana nga tumila na. :)
"Tue, 03 Jul 2012 03:56:54 +0000",erickajea,@dithaAlsol kame nga freeday eh. haha :)
"Tue, 03 Jul 2012 03:56:52 +0000",JuztFadly1,"Truzz , gue haruz ngomong WOOOWW gitu :D RT @Gilbert_GBZ Bkang enteng dang , mr bgmna eh mo jelaskan :/ RT @JuztFadly1 Nga kwa tllu enteng p"
"Tue, 03 Jul 2012 03:56:51 +0000",kristelleclear,"@mitashit Nakita ko nga sa picture e. yung mga binabahang mga campus. HEHE Grabe naman! Kung lulubog kayo sa bahay, di pa din suspended haha"
"Tue, 03 Jul 2012 03:56:50 +0000",patiztoyosuka,@alrakarleng oo nga! Hahahaha :))))) Sipag ko e. &gt;:))
"Tue, 03 Jul 2012 03:56:57 +0000",cidconde,Primero m sorprendi el nro d generales ascendidos. Despus me asombr ver en la lista tantos mediocres q reciben los soles de Carabobo.
"Tue, 03 Jul 2012 03:53:21 +0000",mariannysq29,Chiqui dejame en un md o en un imbox el nro de la residencia donde te estas quedando): te extraoo @loreleggiero10
"Tue, 03 Jul 2012 03:53:19 +0000",Sooolarellano,@RochuCerqueiro *fan nro 1 !
"Tue, 03 Jul 2012 03:52:41 +0000",pinorocha,Terminando d festejar el onomastico nro 56 de un viejo lobo en macondo!
"Tue, 03 Jul 2012 03:51:26 +0000",ANDEOficial,"@nadia_lbo @gmb90 Favor si me indica su nombre, nro. de telefono, y barrio, gracias.N.M."
"Tue, 03 Jul 2012 03:50:32 +0000",NoKieroUsername,"#EresTierruoSi t tomas 1 foto con tu cara d tukky Nro. 5, la subes al Facebook y etiquetas a tus 158845535 amigos d los cuales conoces a 100"
"Tue, 03 Jul 2012 03:50:17 +0000",rivasmigue,@JossGozz mi amor! Estoy en aragua! Tengo el mismo nro. Escribe cualquier cosa!
"Tue, 03 Jul 2012 03:48:24 +0000",YaiArr,#UnHombreEsAmigo hasta que comienza a pensar con la sucursal Nro 2 de la Cabeza! Jajaja #ErikaTipo11
"Tue, 03 Jul 2012 03:47:32 +0000",nattybottifans,@NattyBotti sisis claro eso es obvio el nro no importa y vos tambien tenes una gran familia hermosa!!!! llena de amor lo vi a willy hoy!
"Tue, 03 Jul 2012 03:46:46 +0000",KathContreras,@elesroke Cuando regalabas tu tweet nro no recuerdo xd jaja
"Tue, 03 Jul 2012 03:45:06 +0000",AgusColombres,RT @MircoGroisman: mi twett nro 101 a@ariel_wodo a@JuulaKohan a @janitaslepoy a las bichis@tatyepsztein@NikiKozuch @CandeCassin@NatiDruker y a @AgusColombres
"Tue, 03 Jul 2012 03:44:13 +0000",BogaGonzalez,@VirorrDiaz si va pasame tu nro
"Tue, 03 Jul 2012 03:43:48 +0000",fabiolasamudio,"@TheSantoPecador ojo ehh!! cn quien stes tuiteando,mira q las demas stan ATRAS! saquen nro!"
"Tue, 03 Jul 2012 03:56:16 +0000",maeviFlores,@KeepSoYoung Nsa list lang po. Pero hindi ako natuloy. Summer class kasi. ); Kahinayang nga!
"Tue, 03 Jul 2012 03:54:49 +0000",Mowchie_,Abshrk Galbyy Nsa 6a3m Al2lm Nmoot Lakn ma Tmoot Alkrama  Damk Nweet Al9da Fl w3d Gdaam mn Yuowma 7ta Tgoom AlGyama :) #Good_Morning
"Tue, 03 Jul 2012 03:54:25 +0000",veros0302,Aaaahhh como te kieroooo!!!! NSA!
"Tue, 03 Jul 2012 03:53:39 +0000",FelizViajeAmor,NSA's -------_------------------_---------mENOS A
"Tue, 03 Jul 2012 03:53:25 +0000",saudalemadi,Abshrk galbi nsa 63m elalam nmot laakn matmot elkrama daamk nwait el9aaad flwa3d gdaam mn yoomna l7d tgooooom elgyama !
"Tue, 03 Jul 2012 03:52:54 +0000",jordanvqaa,wag ka magseLos sa INBOX .. dahiL mas masakit ang nsa SENT ITEMS :(
"Tue, 03 Jul 2012 03:52:54 +0000",TGYK1337,RT @BarrettBrownLOL: 3 NSA whistleblowers are preparing to give evidence that the agency is engaging in criminal and unconstitutional behavior.
"Tue, 03 Jul 2012 03:52:53 +0000",stephineknowl,wag ka magseLos sa INBOX .. dahiL mas masakit ang nsa SENT ITEMS :(
"Tue, 03 Jul 2012 03:57:12 +0000",nanadalamm,"Cieee gebetan ambu inisialnyo ""O"" RT @RandySuryaW: Hoy hoy , mulai deh nana (_`) RT @nanadalamm: Oni? Ona? Ondria? Onana?"
"Tue, 03 Jul 2012 03:55:12 +0000",afiqahPIKAchu,@sharmienshariff aah. Oni tidur dia tk join org lain mengganas. Nape?
"Tue, 03 Jul 2012 03:54:19 +0000",errayus,Bu oni untung baik jd enak kerjanya hahahahahahaha.. Banyak curhat lagi nieh
"Tue, 03 Jul 2012 03:54:18 +0000",geegezz,@onioniong @AndriBangun makasi oni bg andri :*
"Tue, 03 Jul 2012 03:53:17 +0000",IAm__YourLEADER,RT @LeekCarr_Rebel: Oni looks like a low key serial killer in avi
"Sun, 01 Jul 2012 11:38:15 +0000",anilgulenn,Bu hafta oici felen istanbula donuceem galiba :D sonraa bilmiyoom
"Sat, 30 Jun 2012 14:36:16 +0000",masskoi,":'( RT @ciyecci: untuk segala sesuatu yang selalu kamu namun bukan untukku, aku masih menangis #oici"
"Sat, 30 Jun 2012 14:29:51 +0000",codrz,#oici -nya MAUUUUTTTTT.. !!! Cc : @masskoi
"Sat, 30 Jun 2012 08:04:52 +0000",codrz,Go !! RT @ciyecci: pengen buat tagar #oici :))
"Sat, 30 Jun 2012 04:40:41 +0000",Ivan_dacruz22,a ver un oici de teke
"Fri, 29 Jun 2012 18:45:26 +0000",DjokoKisS,C LE FEU OICI A LA FAVELA SOLO AVEC LE SON ARCHI ARCHI A FOND LES MUR VIBRE OH OH OH OH OH
"Fri, 29 Jun 2012 15:46:44 +0000",JulMacOs,"Cydia   Lockwee, les widget sur le lockscreen: oici un nouveau tweak disponible sur Cydia au prix de 0,99$ dep... http://t.co/DB5gwyzQ"
"Fri, 29 Jun 2012 15:46:44 +0000",xKruys,"Cydia   Lockwee, les widget sur le lockscreen: oici un nouveau tweak disponible sur Cydia au prix de 0,99$ dep... http://t.co/4d4bkbDy"
"Fri, 29 Jun 2012 15:46:44 +0000",iPh_Francophone,"Cydia   Lockwee, les widget sur le lockscreen: oici un nouveau tweak disponible sur Cydia au prix de 0,99$ dep... http://t.co/SZLZJZtz"
"Thu, 28 Jun 2012 19:57:28 +0000",letivalor,@AlisWhim Un oici hasta el moo con el trabajo del Plan de Social media...
"Thu, 28 Jun 2012 16:52:40 +0000",JulMacOs,"Cydia  MovementApp, une animation lors du changement dapplications: oici un nouveau tweak disponible gratuitem... http://t.co/r6ri8ddB"
"Thu, 28 Jun 2012 16:52:39 +0000",xKruys,"Cydia  MovementApp, une animation lors du changement dapplications: oici un nouveau tweak disponible gratuitem... http://t.co/YxtbmsSO"
"Tue, 03 Jul 2012 03:56:35 +0000",TeeItUpRich,RT @RonPaulsVoice: We must not allow the out-of-control DHS to impose an East German-like police state in the US #RonPaul #TeaParty #OWS #Anonymous #tcot #p2
"Tue, 03 Jul 2012 03:54:20 +0000",HisOneeNDOnlyy,Fenna Get Off Hea &amp; Watch Dhs Moviee   !
"Tue, 03 Jul 2012 03:54:08 +0000",ImPerial_baN,"RT @GlennAmbort7: U R a terrorist if U luv liberty, favor right to life, want religion in politics, R suspicious of Fed Govt: DHS study http://t.co/LYcKmJPt"
"Tue, 03 Jul 2012 03:53:31 +0000",WandaWerks,RT @S_Sydness: #RonPaul is #Elektable- Join Together- Fight 4 Liberty!~ People Against #NDAA~ #TMOT #AHA #DHS #TSA~ http://t.co/amsiMe4g
"Tue, 03 Jul 2012 03:50:37 +0000",realgary2,"@AmberLyon HLS dirty tricks? u might want 2 watch 4 cell jammers cops, dhs might have. If u find, report 2 1800CALLFCC. Major fines 2 cops."
"Tue, 03 Jul 2012 03:50:37 +0000",chicken_waffels,@ImTHAboss_ u play 4 DHS
"Tue, 03 Jul 2012 03:48:07 +0000",RIIOrg,RT @S_Sydness: #RonPaul is #Elektable- Join Together- Fight 4 Liberty!~ People Against #NDAA~ #TMOT #AHA #DHS #TSA~ http://t.co/amsiMe4g
"Tue, 03 Jul 2012 03:47:44 +0000",DesireeShaNice,RT @Telle_Jade: This Nixxa Hittin All The DHS Hoes..&amp;Swear He Got Bad Bitxhes #SitYoAssDown
"Tue, 03 Jul 2012 03:46:38 +0000",ohnicktorres,Interesting to see a fresh (frustrated) perspective from @clutchmagazine wrt Haitians &amp; DHS/Obama post-deferred action http://t.co/PlECcagN
"Tue, 03 Jul 2012 03:45:45 +0000",JayDaYungDon_24,RT @Telle_Jade: This Nixxa Hittin All The DHS Hoes..&amp;Swear He Got Bad Bitxhes #SitYoAssDown
"Tue, 03 Jul 2012 03:45:06 +0000",CountJamie,RT @RonPaulsVoice: We must not allow the out-of-control DHS to impose an East German-like police state in the US #RonPaul #TeaParty #OWS #Anonymous #tcot #p2
"Tue, 03 Jul 2012 03:57:17 +0000",CathLaramee,RT @BossBitchFacts: A jealous woman does better research than FBI.
"Tue, 03 Jul 2012 03:57:03 +0000",mayra0507,RT @linet_18: Una Mujer Enamorada hace Mejores Investigaciones que el FBI #Guaaay
"Tue, 03 Jul 2012 03:57:01 +0000",KlenCaban,RT @YassAdames: Jurao que en mi otra vida fui parte del FBI no se me va una :)
"Tue, 03 Jul 2012 03:56:57 +0000",AnadosD,RT @blondygirl1: @AnadosD @RightWingAngel @USAlivestrong Stalking w/intent to harm (more specifically making harmful threats) FBI (report them under reply)!
"Tue, 03 Jul 2012 03:56:49 +0000",_iAmLife_,He got paperwork on her? what? FBI now
"Tue, 03 Jul 2012 03:56:47 +0000",miiyamaria,#WhiteCollar      FBI. 
"Tue, 03 Jul 2012 03:56:46 +0000",B_radQuarles9,Whenever I'm alone at home I walk through my house like the FBI and sent my dog first..
"Tue, 03 Jul 2012 03:56:42 +0000",laf_1996,FBI: what makes you think you got what it takes to be in the FBI? Me: I'm a directioner! FBI: you're hired! #directionersareliketheFBI
"Tue, 03 Jul 2012 03:56:37 +0000",Miss_Chrissi_J,RT @BossBitchFacts: A jealous woman does better research than FBI.
"Tue, 03 Jul 2012 03:56:35 +0000",SophiaLOVE1D,RT @iBiebs1DHorcrux: Directioners are better at finding things out than the FBI.
"Tue, 03 Jul 2012 03:56:30 +0000",boombimp,RT @BossBitchFacts: A jealous woman does better research than FBI.
"Tue, 03 Jul 2012 03:56:29 +0000",ErykaTheName,RT @BossBitchFacts: A jealous woman does better research than FBI.
"Tue, 03 Jul 2012 03:56:26 +0000",wildcatgirl13,RT @iBiebs1DHorcrux: Directioners are better at finding things out than the FBI.
"Tue, 03 Jul 2012 03:56:23 +0000",Nialls_Hoeskii,"""she should be on FBI's most wanted"" - @harrys_hoeskii  talking about Rebecca Black"
"Tue, 03 Jul 2012 03:57:15 +0000",karinalarass,@chrnspp @dheafiirda ih mau cerita apa atuh :) hayo dea juga ada apa
"Tue, 03 Jul 2012 03:57:07 +0000",Michelle9647,"Head of the #DEA admitting marijuana treatment should be decided between patients and their doctors 
http://t.co/w330hnqm"
"Tue, 03 Jul 2012 03:57:05 +0000",TheyAdore_Swift,RT @SG4L_Maury: Red Hot Boom I'm Dea
"Tue, 03 Jul 2012 03:57:03 +0000",deayey,Apa lu ka haha @reshahendriarto: @deayey @ydiashrina @nadialissya dsar dea semblep songong wkwkw:P
"Tue, 03 Jul 2012 03:57:00 +0000",BulbulGendut,dea = degan anget @dea_afita
"Tue, 03 Jul 2012 03:56:59 +0000",MSAYANFE,RT @damn_sammie: @MSAYANFE all of the above.. ose my dea
"Tue, 03 Jul 2012 03:56:59 +0000",dindaghina,"pas mos dea dtg kesekolah ya, kan kita ketemu(_ )RT @DeangellaNovyra: Kapan kita bertemu din (_ ) RT dindaghina: Me too de("
"Tue, 03 Jul 2012 03:56:57 +0000",Monasalsa,Jamber sa? RT @elsasalsabila: mcd yuk yg lagi bosen ada gue sm dea loh nanti bogel juga nyusul () tp elsanya mandi dulu ya dadah~
"Tue, 03 Jul 2012 03:56:55 +0000",valentina_066,"Ella no es puta trabaja con la DEA, con la de abajo ;)"
"Tue, 03 Jul 2012 03:47:48 +0000",airr_baggs,@FUCKyour_JAYs inr mayb wen I get bac den we can : ))
"Tue, 03 Jul 2012 03:45:44 +0000",yudhyhgLinkbuck,USD/INR hovers around 55.50 after massive Friday drop http://t.co/IiselXKj
"Tue, 03 Jul 2012 03:45:01 +0000",MetconFinance,INR strengthens to 55.25 to the USD
"Tue, 03 Jul 2012 03:44:40 +0000",equityin,"Currencies |
 
USD to INR 55.305 -0.08 -0.14% USD/INR
   
EUR to INR 69.6594 -0.0371 -0.05% EUR/INR
   
GBP to INR 86.8479 -0.0655 -0.08%"
"Tue, 03 Jul 2012 03:42:21 +0000",AlpariIndia,The 55.30 - 55.20 are the most likely targets and supports for INR and a close below the same shall target 54.90 levels
"Tue, 03 Jul 2012 03:41:13 +0000",MindlezzJournee,@_sierradawne inr especially whenvit comes to them
"Tue, 03 Jul 2012 03:40:10 +0000",tradermade,"Market Monitor: USD/INR is just hitting a new  Week Low, at 55.32 so far.  03 Jul 2012 03:41:33 GMT http://t.co/F5dnHArA #forex"
"Tue, 03 Jul 2012 03:38:54 +0000",INRBot,"1 USD = 55.365 INR, 1 EUR = 69.7145 INR."
"Tue, 03 Jul 2012 03:34:38 +0000",iAlmost_gaveAF,"RT @_xToREALBaby: @iAlmost_gaveAF : lol inr , his eyes aree soo pretty light brown : ) ha too bad hee tooken doee so bag up l'hommie ."
"Tue, 03 Jul 2012 03:30:00 +0000",CurrConv,#currency EUR/USD:1.26 USD/JPY:79.74 GBP/USD:1.57 USD/CHF:0.95 USD/CAD:1.02 AUD/USD:1.03 USD/INR:55.4 22:30EST #Forex http://t.co/BrfqmBED
"Tue, 03 Jul 2012 03:54:22 +0000",DelvinSidharta,"Engga pn , kwkw RT @sylvaannn: Apa deh? Wkkwk RT @DelvinSidharta Enpyy TFI ._. Hahaha &gt;RT @sylvaannn: Tekanan batin"
"Tue, 03 Jul 2012 03:50:25 +0000",SlimShadyBreezy,@viccctr kalo tfi kamu ke home screen baru pilih settings yg ada gambar gear itutu baru cari pilihan twitter baru remove account
